dependency_id,task_id,depends_on_task_id
1,103,102
2,104,102
3,105,102
4,103,106
5,104,106
6,105,106
7,112,103
8,113,104
9,164,104
10,165,104
11,178,104
12,213,104
13,214,213
14,115,114
15,115,148
16,149,115
17,149,148
18,117,116
19,118,117
20,145,118
21,121,120
22,138,121
23,123,122
24,147,123
25,108,136
26,150,108
27,109,133
28,110,134
29,135,105
30,119,137
31,166,108
32,159,105
33,194,107
34,195,164
35,148,102
36,185,148
37,186,148
38,140,139
39,176,140
40,184,176
41,218,184
42,143,107
43,191,143
44,227,226
45,234,176
46,236,234
47,237,236
48,241,238
49,242,149
50,243,145
