task_id,title,description,status,priority,created_at,updated_at,due_date,assigned_user_id,estimated_duration_minutes,project_id,reminder_sent_at
101,Setup Project Repository,"Initialize git repo, add README, LICENSE",Done,High,2024-01-15T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,60,1,
102,Define Core Data Models,"Define User, Task, TimeLog structures for CSV handling",Done,High,2024-01-15T11:30:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,8,180,1,
103,Implement User API Endpoints,Create FastAPI endpoints for CRUD operations on users.csv,Done,High,2024-01-16T09:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,12,240,2,
104,Implement Task API Endpoints,Create FastAPI endpoints for CRUD operations on tasks.csv,Done,High,2024-01-16T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,16,300,2,
105,Implement TimeLog API Endpoints,Create FastAPI endpoints for CRUD operations on time_logs.csv,Done,High,2024-01-17T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,20,240,2,
106,Develop CSV Read/Write Logic,Create utility functions to safely read and append to CSV files,Done,Medium,2024-01-15T15:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,4,120,1,
107,Add Basic Authentication,Implement simple API key or token auth,In Progress,Medium,2024-01-18T11:30:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,25,180,3,
108,Implement Task Due Date Reminders,Scheduled job to check tasks nearing due date and log notification needed,Done,Medium,2024-01-19T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,30,210,4,2024-01-25T10:00:00Z
109,Implement Start/End Time Logic,API logic to start and stop timers for time logs,In Progress,Medium,2024-01-20T13:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,35,150,5,
110,Manual Time Entry Feature,Allow users to manually log time spent on a task,Done,Low,2024-01-21T16:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,40,90,5,
111,Setup Unit Tests,Configure pytest and write initial tests for CSV utils,Done,Medium,2024-01-16T14:30:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,45,180,6,
112,Write Tests for User API,Create unit/integration tests for user endpoints,Done,Medium,2024-01-18T15:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,50,240,6,
113,Write Tests for Task API,Create unit/integration tests for task endpoints,In Progress,Medium,2024-01-19T16:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,55,240,6,
114,Research Auto-Scheduling Algorithms,"Investigate algorithms for scheduling based on priority, availability, due date",Done,Low,2024-01-22T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,60,120,7,
